Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,qt.,976,660,32,40,36,0.0,48.0,Dairy products
Buttermilk,cup,246,127,9,5,4,0.0,13.0,Dairy products
"Evaporated, undiluted",cup,252,345,16,20,18,0.0,24.0,Dairy products
"Fortified milk , ,",cups,1,373,89,42,23,1.4,119.0,Dairy products
Powdered milk,cup,103,515,27,28,24,0.0,39.0,Dairy products
"skim, instant / t t",cups,1,3,85,290,30,0.0,42.0,Dairy products
"skim, non-instant / t t",cup,2,3,85,290,30,1.0,42.0,Dairy products
Goats' milk,cup,244,165,8,10,8,0.0,11.0,Dairy products
(/ ice cream),cup cups,540,690,24,24,22,0.0,70.0,Dairy products
Cocoa,cup,252,235,8,11,10,0.0,26.0,Dairy products
skim. milk,cup,250,128,18,4,3,1.0,13.0,Dairy products
(cornstarch),cup,248,275,9,10,9,0.0,40.0,Dairy products
Custard,cup,248,285,13,14,11,0.0,28.0,Dairy products
Ice cream,cup,188,300,6,18,16,0.0,29.0,Dairy products
Ice milk,cup,190,275,9,10,9,0.0,32.0,Dairy products
Cream or half-and-half /,cup,120,170,4,15,13,0.0,5.0,Dairy products
or whipping /,cup,119,430,2,44,27,1.0,3.0,Dairy products
Cheese,cup,225,240,30,11,10,0.0,6.0,Dairy products
Cheddar -in. cube t,,1,17,70,4,6,5.0,0.0,Dairy products
"Cheddar, grated /",cup cup,56,226,14,19,17,0.0,1.0,Dairy products
Cream cheese,oz.,28,105,2,11,10,0.0,1.0,Dairy products
Processed cheese t,oz.,1,28,105,7,9,8.0,0.0,Dairy products
Roquefort type t,oz.,1,28,105,6,9,8.0,0.0,Dairy products
Swiss t,oz.,1,28,105,7,8,7.0,0.0,Dairy products
Eggs raw t,,2,100,150,12,12,10.0,0.0,Dairy products
Eggs Scrambled or fried,,128,220,13,16,14,0.0,1.0,Dairy products
"Yolks t Fats,",,2,34,120,6,10,8.0,0.0,"Oils, Shortenings"
"Butter / Fats,",cup,112,113,114,115,116,117.0,118.0,"Oils, Shortenings"
"Butter /ÃÂ lb. Fats,",,112,113,114,115,116,117.0,118.0,"Oils, Shortenings"
"Hydrogenated cooking fat / Fats,",cup,100,665,0,100,88,0.0,0.0,"Oils, Shortenings"
"Lard / Fats,",cup,110,992,0,110,92,0.0,0.0,"Oils, Shortenings"
"Margarine / t t Fats,",cup,1,2,112,806,91,76.0,0.0,"Oils, Shortenings"
"Margarine, pat or T. t t Fats,",,2,1,14,100,11,9.0,0.0,"Oils, Shortenings"
"Corn oil T. Fats,",,14,125,0,14,5,0.0,0.0,"Oils, Shortenings"
"Olive oil T. Fats,",,14,125,0,14,3,0.0,0.0,"Oils, Shortenings"
"Safflower seed oil T. Fats,",,14,125,0,14,3,0.0,0.0,"Oils, Shortenings"
"French dressing T. t Fats,",,1,15,60,6,2,0.0,2.0,"Oils, Shortenings"
"Thousand Island sauce T. t Fats,",,1,15,75,8,3,0.0,1.0,"Oils, Shortenings"
Salt pork,oz.,2,60,470,3,55,0.0,0.0,"Meat, Poultry"
Bacon slices,,16,95,4,8,7,0.0,1.0,"Meat, Poultry"
Beef,oz.,85,245,23,16,15,0.0,0.0,"Meat, Poultry"
Hamburger,oz.,85,245,21,17,15,0.0,0.0,"Meat, Poultry"
Ground lean,oz.,85,185,24,10,9,0.0,0.0,"Meat, Poultry"
Roast beef,oz.,85,390,16,36,35,0.0,0.0,"Meat, Poultry"
Steak,oz.,85,330,20,27,25,0.0,0.0,"Meat, Poultry"
"Steak, lean, as round",oz.,85,220,24,12,11,0.0,0.0,"Meat, Poultry"
Corned beef,oz.,85,185,22,10,9,0.0,0.0,"Meat, Poultry"
Corned beef hash canned t,oz.,3,85,120,12,8,7.0,6.0,"Meat, Poultry"
Corned beef hash Dried,oz.,56,115,19,4,4,0.0,0.0,"Meat, Poultry"
Pot-pie pie t,,1,227,480,18,28,25.0,32.0,"Meat, Poultry"
Corned beef hash Stew t,cup,1,235,185,15,10,9.0,15.0,"Meat, Poultry"
chicken,oz.,85,185,23,9,7,0.0,0.0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",oz.,85,245,25,15,11,0.0,0.0,"Meat, Poultry"
Roasted chicken /,oz.,100,290,25,20,16,0.0,0.0,"Meat, Poultry"
"Chicken livers, fried med.",,100,140,22,14,12,0.0,2.3,"Meat, Poultry"
"Duck, domestic /",oz.,100,370,16,28,0,0.0,0.0,"Meat, Poultry"
"Lamb, chop, broiled",oz.,115,480,24,35,33,0.0,0.0,"Meat, Poultry"
Leg roasted,oz.,86,314,20,14,14,0.0,0.0,"Meat, Poultry"
"Shoulder, braised",oz.,85,285,18,23,21,0.0,0.0,"Meat, Poultry"
"Pork, chop, thick /",oz.,100,260,16,21,18,0.0,0.0,"Meat, Poultry"
Ham pan-broiled,oz.,85,290,16,22,19,0.0,0.0,"Meat, Poultry"
"Ham, as",oz.,57,170,13,13,11,0.0,0.0,"Meat, Poultry"
"Ham, canned, spiced",oz.,57,165,8,14,12,0.0,1.0,"Meat, Poultry"
Pork roast,oz.,85,310,21,24,21,0.0,0.0,"Meat, Poultry"
Pork sausage /,oz.,100,475,18,44,40,0.0,0.0,"Meat, Poultry"
Turkey /,oz.,100,265,27,15,0,0.0,0.0,"Meat, Poultry"
Veal,oz.,85,185,23,9,8,0.0,0.0,"Meat, Poultry"
Roast,oz.,85,305,13,14,13,0.0,0.0,"Meat, Poultry"
Clams,oz.,85,87,12,1,0,0.0,2.0,"Fish, Seafood"
Cod /,oz.,100,170,28,5,0,0.0,0.0,"Fish, Seafood"
Crab meat,oz.,85,90,14,2,0,0.0,1.0,"Fish, Seafood"
Fish sticks fried,,112,200,19,10,5,0.0,8.0,"Fish, Seafood"
Flounder /,oz.,100,200,30,8,0,0.0,0.0,"Fish, Seafood"
Haddock,oz.,85,135,16,5,4,0.0,6.0,"Fish, Seafood"
Halibut /,oz.,100,182,26,8,0,0.0,0.0,"Fish, Seafood"
Herring small,,100,211,22,13,0,0.0,0.0,"Fish, Seafood"
Mackerel a,oz.,3,85,155,18,9,0.0,0.0,"Fish, Seafood"
Oysters - med.,,230,231,232,233,234,235.0,236.0,"Fish, Seafood"
Oyster stew,cup,85,125,19,6,1,0.0,0.0,"Fish, Seafood"
Salmon,oz.,85,120,17,5,1,0.0,0.0,"Fish, Seafood"
Sardines,oz.,85,180,22,9,4,0.0,0.0,"Fish, Seafood"
Scallops /,oz.,100,104,18,8,0,0.0,10.0,"Fish, Seafood"
Shad,oz.,85,170,20,10,0,0.0,0.0,"Fish, Seafood"
Shrimp,oz.,85,110,23,1,0,0.0,0.0,"Fish, Seafood"
Swordfish steak,,100,180,27,6,0,0.0,0.0,"Fish, Seafood"
Tuna,oz.,85,170,25,7,3,0.0,0.0,"Fish, Seafood"
"Navy, baked with pork /",cup,200,250,11,6,6,2.0,37.0,Vegetables A-E
Red kidney,cup,260,230,15,1,0,2.5,42.0,Vegetables A-E
Bean sprouts t,cup,1,50,17,1,0,0.3,3.0,Vegetables A-E
Beet greens t,cup,1,100,27,2,0,1.4,6.0,Vegetables A-E
