Food,Calories,Protein,Fat,Fiber,Carbs,Topsis Score,Rank
Cows' milk,660,32,40,0.0,48.0,0.7079852467095598,34.0
Buttermilk,127,9,5,0.0,13.0,0.6779841257895541,223.0
"Evaporated, undiluted",345,16,20,0.0,24.0,0.6895573330814897,95.0
"Fortified milk , ,",373,89,42,1.4,119.0,0.7287319137909826,17.0
Powdered milk,515,27,28,0.0,39.0,0.701444779504202,43.0
"skim, instant / t t",3,85,290,0.0,42.0,0.616436738003064,298.0
"skim, non-instant / t t",3,85,290,1.0,42.0,0.615749005229415,299.0
Goats' milk,165,8,10,0.0,11.0,0.678161504043921,216.0
(/ ice cream),690,24,24,0.0,70.0,0.7174136828368894,27.0
Cocoa,235,8,11,0.0,26.0,0.6857900432276981,120.0
skim. milk,128,18,4,1.0,13.0,0.6789943175698226,200.0
(cornstarch),275,9,10,0.0,40.0,0.6922187411717609,72.0
Custard,285,13,14,0.0,28.0,0.6888633178413384,100.0
Ice cream,300,6,18,0.0,29.0,0.688124174599422,107.0
Ice milk,275,9,10,0.0,32.0,0.6897060972855619,92.0
Cream or half-and-half /,170,4,15,0.0,5.0,0.675157898868286,253.0
or whipping /,430,2,44,1.0,3.0,0.6790963540603292,196.0
Cheese,240,30,11,0.0,6.0,0.682751305659082,142.0
Cheddar -in. cube t,17,70,4,5.0,0.0,0.6748021599220397,258.0
"Cheddar, grated /",226,14,19,0.0,1.0,0.6770143384845253,237.0
Cream cheese,105,2,11,0.0,1.0,0.6714166309097929,283.0
Processed cheese t,28,105,7,8.0,0.0,0.6780058469190995,222.0
Roquefort type t,28,105,6,8.0,0.0,0.6781595495808819,217.0
Swiss t,28,105,7,7.0,0.0,0.6785073012456809,209.0
Eggs raw t,100,150,12,10.0,0.0,0.6858281842366656,119.0
Eggs Scrambled or fried,220,13,16,0.0,1.0,0.677097878568453,235.0
"Yolks t Fats,",34,120,6,8.0,0.0,0.6804333964415381,170.0
"Butter / Fats,",113,114,115,117.0,118.0,0.5820209908098486,300.5
"Butter /ÃÂ lb. Fats,",113,114,115,117.0,118.0,0.5820209908098486,300.5
"Hydrogenated cooking fat / Fats,",665,0,100,0.0,0.0,0.6740550405511955,266.0
"Lard / Fats,",992,0,110,0.0,0.0,0.6780701697874477,219.0
"Margarine / t t Fats,",2,112,806,76.0,0.0,0.3427107872545401,303.0
"Margarine, pat or T. t t Fats,",1,14,100,9.0,0.0,0.6461327494991697,297.0
"Corn oil T. Fats,",125,0,14,0.0,0.0,0.6712472130333363,286.0
"Olive oil T. Fats,",125,0,14,0.0,0.0,0.6712472130333363,286.0
"Safflower seed oil T. Fats,",125,0,14,0.0,0.0,0.6712472130333363,286.0
"French dressing T. t Fats,",15,60,6,0.0,2.0,0.6760327505305638,244.0
"Thousand Island sauce T. t Fats,",15,75,8,0.0,1.0,0.6773791036747583,232.0
Salt pork,60,470,3,0.0,0.0,0.727903168688541,18.0
Bacon slices,95,4,8,0.0,1.0,0.6717011572788522,282.0
Beef,245,23,16,0.0,0.0,0.6792130378629696,195.0
Hamburger,245,21,17,0.0,0.0,0.6787745458856671,204.0
Ground lean,185,24,10,0.0,0.0,0.6777471096114179,226.0
Roast beef,390,16,36,0.0,0.0,0.6805765487416168,167.0
Steak,330,20,27,0.0,0.0,0.6804190018628037,171.0
"Steak, lean, as round",220,24,12,0.0,0.0,0.6789302456802653,202.0
Corned beef,185,22,10,0.0,0.0,0.6774705555168945,230.0
Corned beef hash canned t,85,120,12,7.0,6.0,0.6846691470828167,132.0
Corned beef hash Dried,115,19,4,0.0,0.0,0.6748989275700548,257.0
Pot-pie pie t,227,480,18,25.0,32.0,0.7399558144306746,10.0
Corned beef hash Stew t,235,185,15,9.0,15.0,0.7032455361589969,40.0
chicken,185,23,9,0.0,0.0,0.6777602181166708,224.5
"Fried, breast or leg and thigh chicken",245,25,15,0.0,0.0,0.6796506274913756,188.0
Roasted chicken /,290,25,20,0.0,0.0,0.6806969702721614,164.0
"Chicken livers, fried med.",140,22,14,0.0,2.3,0.6756330069074263,249.0
"Duck, domestic /",370,16,28,0.0,0.0,0.6811916247884595,158.0
"Lamb, chop, broiled",480,24,35,0.0,0.0,0.6850920907773514,127.0
Leg roasted,314,20,14,0.0,0.0,0.6818709251781417,150.0
"Shoulder, braised",285,18,23,0.0,0.0,0.6790164857986152,199.0
"Pork, chop, thick /",260,16,21,0.0,0.0,0.6780472609836256,221.0
Ham pan-broiled,290,16,22,0.0,0.0,0.6790923061274599,197.0
"Ham, as",170,13,13,0.0,0.0,0.675125197245759,254.0
"Ham, canned, spiced",165,8,14,0.0,1.0,0.6743856727199353,264.0
Pork roast,310,21,24,0.0,0.0,0.6802745659029434,176.0
Pork sausage /,475,18,44,0.0,0.0,0.682453298924121,145.0
Turkey /,265,27,15,0.0,0.0,0.680755742247726,163.0
Veal,185,23,9,0.0,0.0,0.6777602181166708,224.5
Roast,305,13,14,0.0,0.0,0.6805166071917537,169.0
Clams,87,12,1,0.0,2.0,0.6737686272818294,271.0
Cod /,170,28,5,0.0,0.0,0.6783986493201776,211.0
Crab meat,90,14,2,0.0,1.0,0.673715375189861,272.0
Fish sticks fried,200,19,10,0.0,8.0,0.6802837444355803,175.0
Flounder /,200,30,8,0.0,0.0,0.6795236385625633,189.0
Haddock,135,16,5,0.0,6.0,0.6771255778449023,234.0
Halibut /,182,26,8,0.0,0.0,0.6781962077159877,215.0
Herring small,211,22,13,0.0,0.0,0.6781182778343195,218.0
Mackerel a,85,155,18,0.0,0.0,0.689580520085644,94.0
Oysters - med.,231,232,233,235.0,236.0,0.4355531302486821,302.0
Oyster stew,125,19,6,0.0,0.0,0.6750458559403568,256.0
Salmon,120,17,5,0.0,0.0,0.6747023516735481,259.0
Sardines,180,22,9,0.0,0.0,0.6774071798869233,231.0
Scallops /,104,18,8,0.0,10.0,0.6768087877285979,239.0
Shad,170,20,10,0.0,0.0,0.6765487619616986,242.0
Shrimp,110,23,1,0.0,0.0,0.6756549211404421,248.0
Swordfish steak,180,27,6,0.0,0.0,0.6785463871814627,207.0
Tuna,170,25,7,0.0,0.0,0.677688946329148,227.0
"Navy, baked with pork /",250,11,6,2.0,37.0,0.6902155637138595,88.0
Red kidney,230,15,1,2.5,42.0,0.6919895545471867,74.0
Bean sprouts t,50,17,1,0.3,3.0,0.6729272916332482,277.0
Beet greens t,100,27,2,1.4,6.0,0.6768746946582697,238.0
Broccoli t,150,45,5,1.9,8.0,0.6816226918049171,153.0
Brussels sprouts t,130,60,6,1.7,12.0,0.6840399128988329,138.0
Sauerkraut t,150,32,1,1.2,7.0,0.680386239612597,172.0
Steamed cabbage t,170,40,2,1.3,9.0,0.68286212808537,141.0
Carrots t,150,45,1,0.9,10.0,0.6833026861733804,140.0
"Raw, grated t",110,45,1,1.2,10.0,0.6813174523118962,157.0
Cauliflower t,120,30,3,1.0,6.0,0.6782310097441699,212.0
Celery t,100,20,1,1.0,4.0,0.6756178347833387,250.0
Stalk raw large t,40,5,1,0.3,1.0,0.670266665026746,290.0
Chard steamed t,150,30,2,1.4,7.0,0.6798740109031404,182.0
Collards t,150,51,5,2.0,8.0,0.6824152004129527,146.0
Corn ear t,100,92,3,0.8,21.0,0.690871783250567,85.0
cooked or canned t,200,170,5,1.6,41.0,0.7138861479722424,29.0
Cucumbers t,50,6,0,0.2,1.0,0.6710446341677841,288.0
Dandelion greens,80,5,1,3.2,16.0,0.6753452990346371,252.0
Eggplant t,180,30,2,1.0,9.0,0.6820323185428411,148.0
Endive t,57,10,1,0.6,2.0,0.6718766810584925,279.0
Kale,45,4,1,0.9,8.0,0.6722147202247137,278.0
Kohlrabi t,140,40,2,1.5,9.0,0.6814124296119195,156.0
"Lambs quarters, steamed t",150,48,5,3.2,7.0,0.6811204572598308,159.0
Lentils t,200,212,15,2.4,38.0,0.7173384006786551,28.0
Lettuce / head t,100,14,1,0.5,2.0,0.6744016481121834,263.0
Iceberg / head t t,4,100,13,0.5,3.0,0.6797648508475008,186.0
Mustard greens t,140,30,3,1.2,6.0,0.6790469557311037,198.0
Okra / t,100,32,1,1.0,7.0,0.6781979113630296,214.0
Onions t,210,80,2,1.6,18.0,0.693288257988621,68.0
Parsnips,95,2,1,3.0,22.0,0.6775283057020808,229.0
Peas t,100,66,3,0.1,13.0,0.6849105551204768,129.0
"Fresh, steamed peas t",100,70,5,2.2,12.0,0.6839173022716696,139.0
Split cooked peas t,100,115,8,0.4,21.0,0.6935636064713248,66.0
heated peas t,100,53,3,1.0,10.0,0.6817481554106153,151.0
"Peppers Raw, green, sweet large t",100,25,1,1.4,6.0,0.6767478861002261,240.0
Peppers with beef and crumbs med.,255,19,9,1.0,24.0,0.6875230962011941,110.0
"Potatoes, baked med. t",100,100,2,0.5,22.0,0.6926062802843678,70.0
French-fried pieces -,155,1,7,0.4,20.0,0.6797983642753567,184.0
Potatoes Mashed with milk and butter,230,4,12,0.7,28.0,0.6851449405260631,126.0
"Potatoes, pan-tried /",268,4,14,0.4,33.0,0.6881785827442432,105.0
Scalloped with cheese potatoes /,145,6,8,0.4,14.0,0.6780573299614165,220.0
Steamed potatoes before peeling med. t,100,80,2,0.4,19.0,0.6888387494073347,101.0
Potato chips t,20,110,1,4.0,10.0,0.6844304418558625,134.0
Radishes small t,50,10,0,0.3,2.0,0.6718359503145999,280.0
Rutabagas t,100,32,0,1.4,8.0,0.6784810976990818,210.0
Soybeans,260,22,11,3.2,20.0,0.6855945089616099,122.0
Spinach t,100,26,3,1.0,3.0,0.6758237405841984,246.0
Squash t,210,35,1,0.6,8.0,0.6840485627851282,137.0
"Winter, mashed t",200,95,4,2.6,23.0,0.6959931098294971,59.0
Sweet potatoes med.,155,2,1,1.0,36.0,0.6854229871578665,124.0
Candied med.,235,2,6,1.5,80.0,0.701032325654316,45.0
Tomatoes t,240,50,2,1.0,9.0,0.6875077893512598,112.0
"Raw, by / med. t",150,30,1,0.6,6.0,0.6800518307166803,179.0
Tomato juice t,240,50,2,0.6,10.0,0.6880180574079231,108.0
Turnip greens,45,4,1,1.8,8.0,0.6718091709487978,281.0
"Turnips, steamed t",155,40,1,1.8,9.0,0.6821068144390784,147.0
"Watercress stems, raw t",50,9,1,0.3,1.0,0.671251656276535,284.0
Apple juice canned t,250,125,0,0.0,34.0,0.708443253200286,33.0
Apple vinegar / t,100,14,0,0.0,3.0,0.675078624599946,255.0
Apricots t,250,220,2,1.0,57.0,0.7310823308358171,14.0
"Dried, uncooked / t",75,220,4,1.0,50.0,0.7176470589459454,26.0
Fresh med. t,114,55,1,0.7,14.0,0.6844034659705678,135.0
"Nectar, or juice t",250,140,1,2.0,36.0,0.7104860724688917,31.0
Avocado / large,185,2,18,1.8,6.0,0.6745471983204149,260.0
Banana med. t,150,85,1,0.9,23.0,0.6932739607106645,69.0
Blackberries,85,2,1,6.6,19.0,0.6744448716236726,262.0
Blueberries t,250,245,1,2.0,65.0,0.7378794727805226,11.0
Cantaloupe / med. t,380,40,1,2.2,9.0,0.6913765408080986,78.0
Cherries,100,2,1,2.0,26.0,0.6794195133729883,190.0
"Fresh, raw t",114,65,1,0.8,15.0,0.686082623828044,118.0
Dates t,178,505,4,3.6,134.0,0.799499558964625,4.0
Figs t,42,120,2,1.9,30.0,0.694398380145063,62.0
"Fresh, raw figs med. t",114,90,2,1.0,22.0,0.6916826150418507,76.0
figs Canned with syrup t,115,130,1,1.0,32.0,0.7009857743980167,47.0
"Fruit cocktail, canned t",256,195,1,0.5,50.0,0.7251423219844694,20.0
Grapefruit sections t,250,170,1,0.5,44.0,0.7186681398266533,24.0
"Grapefruit, fresh, "" diameter -Jan t t",2,285,50,1.0,14.0,0.7010105139132602,46.0
Grapefruit juice t,250,100,1,1.0,24.0,0.7005833353792188,51.0
Grapes t,153,70,1,0.8,16.0,0.6889842347453201,99.0
